School,County,Date,Days 
598 Central CUSD 301,Kane,After 6/30,Remain Open for the entire year
599 St Charles CUSD 303,Kane,After 6/30,Remain Open for the entire year
600 Geneva CUSD 304,Kane,After 6/30,Remain Open for the entire year
4 Pembroke CCSD 259,Kankakee,10/1/2016,37
11 Momence CUSD 1,Kankakee,10/29/2016,65
17 Kankakee SD 111,Kankakee,11/12/2016,79
205 Bradley SD 61,Kankakee,4/13/2017,231
320 St Anne CCSD 256,Kankakee,6/5/2017,Remain Open for the entire year
331 Bourbonnais SD 53,Kankakee,6/13/2017,Remain Open for the entire year
335 St George CCSD 258,Kankakee,6/15/2017,Remain Open for the entire year
601 Manteno CUSD 5,Kankakee,After 6/30,Remain Open for the entire year
602 Bradley Bourbonnais CHSD 307,Kankakee,After 6/30,Remain Open for the entire year
603 Herscher CUSD 2,Kankakee,After 6/30,Remain Open for the entire year
604 Grant Park CUSD 6,Kankakee,After 6/30,Remain Open for the entire year
605 St Anne CHSD 302,Kankakee,After 6/30,Remain Open for the entire year
202 Oswego CUSD 308,Kendall,4/11/2017,229
606 Plano CUSD 88,Kendall,After 6/30,Remain Open for the entire year
607 Yorkville CUSD 115,Kendall,After 6/30,Remain Open for the entire year
608 Lisbon CCSD 90,Kendall,After 6/30,Remain Open for the entire year
609 Newark CCSD 66,Kendall,After 6/30,Remain Open for the entire year
610 Newark CHSD 18,Kendall,After 6/30,Remain Open for the entire year
197 Galesburg CUSD 205,Knox,4/9/2017,227
611 R O W V A CUSD 208,Knox,After 6/30,Remain Open for the entire year
612 Knoxville CUSD 202,Knox,After 6/30,Remain Open for the entire year
613 Abingdon-Avon CUSD 276,Knox,After 6/30,Remain Open for the entire year
614 Williamsfield CUSD 210,Knox,After 6/30,Remain Open for the entire year
35 Waukegan CUSD 60,Lake,12/23/2016,120
100 Millburn CCSD 24,Lake,2/10/2017,169
134 Beach Park CCSD 3,Lake,3/7/2017,194
138 Round Lake CUSD 116,Lake,3/12/2017,199
146 North Chicago SD 187,Lake,3/18/2017,205
147 Big Hollow SD 38,Lake,3/19/2017,206
165 Lake Bluff ESD 65,Lake,3/25/2017,212
166 Zion ESD 6,Lake,3/25/2017,212
243 Gavin SD 37,Lake,5/2/2017,250
293 Oak Grove SD 68,Lake,5/24/2017,272
615 Grayslake CCSD 46,Lake,After 6/30,Remain Open for the entire year
